_FIVETRAN_SYNCED,ACTIVE_IN_ACTIVE,ACTUAL_RISK_OF_THE_OBSERVATION,AOC_AS_PER_NEW_VIQ,AGE_2,AREA_OF_CONCERN,AUTHORITY,CAUSE_ANALYSIS,COUNTRY,CREW_NATIONALITY,DEFICIENCY_COUNT,DEFICIENCY_COUNT_FOR_BI,ELMER_ESTRELLA,FLEET_,IMMEDIATE_ACTION_TAKEN,IMO_NO,GROUP,INSPECTION_FROM_DATE,INSPECTION_TYPE,INSPECTOR,MARINE_MANAGER,MARINE_SUPERINTENDENT,NATIONALITY_OF_THE_CREW,NATURE_OF_DEFICIENCY,OWNER_GROUP,PERIOD,PORT_NAME,POTENTIAL_RISK_OF_THE_OBSERVATION,PSC_CATEGORY,PSC_CODE,PSC_SUB_CATEGORY,R_OWNERS,REFERENCE_CODE_1,REFERENCE_NO_,REGISTERED_OWNER_OF_THE_SHIP,REMARKS,RESIDUAL_RISK_AFTER_CA_,SHIPPALM_REF_,SUGGESTED_CORRECTIVE_ACTION,TECHNICAL_MANAGER,TECHNICAL_SUPERINTENDENT,HAND_OVER_DATE_MOD,VESSEL_NAME,VESSEL_TYPE,YARD,YEAR_BUILD,AGE_OF_VESSEL,STATUS,COLUMN_1,COLUMN_2,"""Dry/Wet""",VESSEL_TYPE_1,FLAG_STATE,ACTUAL_OWNERS,DETENTION,MANAGER_GROUP
2025-04-29T12:10:05.763Z,In Active,null,NA,null,Na,Vina del Mar,Na,Brazil,null,0,0,null,null,Na,9682863,SOMI ,04-06-24,null,L.C. da Cruz Silva ,Daniel Lindo ,Japri Torlao ,Filipinos,Nil findings,Grace Ocean Pte Ltd,Q2 - 2024,Pecem,null,,null,,Grace Ocean Private Limited ,null,2024SOMIPSC022,null,null,null,null,Na,null,Benjie Alajid ,22-08-24,Bulk Poland,Bulk Carrier,"Tsuneshi, Tadotsu ",null,1.16,null,Na,null,Dry,Bulk Carrier,Singapore,Grace Ocean Pte Ltd,null,SOMI
2025-04-29T12:10:05.756Z,In Active,null,NA,null,Na,Vina del Mar,Na,Brazil,null,0,0,null,null,Na,9682863,SOMI ,13-11-23,null,"""L.C. da Cruz Silva
Relnaldo C. Azevedo
Cicero Rodrigues Martins
J. Mauro Frutuoso da Silva ""
",Daniel Lindo ,Bryan C. Gutierrez ,Filipinos,Nil findings,Grace Ocean Pte Ltd,Q4 - 2023,Pecem,null,,null,,Grace Ocean Private Limited ,null,2023SOMIPSC050,null,null,null,null,Na,null,Ark A. Puguon ,22-08-24,Bulk Poland,Bulk Carrier,"Tsuneishi, Tadotsu ",null,11.16,null,Na,null,Dry,Bulk Carrier,Singapore,Grace Ocean Pte Ltd,null,SOMI
2025-04-29T12:09:00.102Z,null,null,null,null,null,Tokyo MoU,null,South Korea,null,null,1,null,null,null,9520792,null,14-11-24,PSC,"Yeo Un Kee, Song Kwang Ho, Doey Juong Hyun",Vikram Viswanathan,Ranjith Mathew,null,Electrical Room on Upper Bridge Deck unduly unnecessary material.,null,Q4 - 2024,Pyeongtaek,null,,null,,null,17,2024PSC485,null,null,null,null,null,Vinod Mittal,Gaurav singh Rajput,01-05-25,Naluhu,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:59.83Z,Active,null,null,null,null,Paris MOU,null,Spain,null,null,1,null,null,null,9633953,G,02-10-24,PSC ,Ruben Panes,Chetan sharma,Parthiban Sammandan,Indian,Gangway to board the ship marked to be used between 25 and 55 degrees indication only. No evidence was found that there is a device or system to measure the inclination of the gangway (inclinometer for example). Crew found with lack of familiarity regarding how to deploy safely gangway and were not able to provide evidence. No reasonable precautions to prevent occupational accidents or injuries were taken.,NISSEN Kaiun KK,Q4 - 2024,Algeciras,null,"Health protection, medical care, social security",18409,Dangerous areas,null,16,2024PSC420,null,null,null,null,null,Daniel Christopher,Pradeep Christy,06-04-25,Cap San Sounio,Container,Hyundai Heavy Industries Co. Ltd.,null,10.92,null,null,null,Dry,Container,Panama,NISSEN Kaiun KK,null,SMPL
2025-04-29T12:09:00.156Z,null,null,null,null,null,Asia-Pacific MoU,null,Vietnam,null,0,0,null,null,null,9610195,null,02-12-24,PSC,Truong van chung le hung,Vikram Viswanathan,Balachander Subramanian,null,Nil Findings,null,Q4 - 2024,Vungang,null,,null,,null,null,2024PSC506,null,null,null,null,null,Vinod Mittal,Jacob Paul,01-05-25,Moonbright SW,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Shih Wei Navigation Co Ltd,null,SMPL
2025-04-29T12:08:59.955Z,null,null,null,null,null,USCG,null,United States of America,null,0,0,null,null,null,9724178,null,23-10-24,PSC ,Ltjb Kintzley,Vikram Viswanathan,Varun Chandran,null,Nil findings,Wisdom Marine Group,Q4 - 2024,Mobile,null,,null,,Wisdom Marine Lines SA,null,2024PSC444,null,null,null,null,null,Vinod Mittal,Ritesh Kumar,01-05-25,Amis fortune,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:58.482Z,Active,null,null,null,null,Tokyo MOU,null,China,null,5,1,null,null,null,9609639,D,04-01-24,PSC,null,Khalid Nawaz,Rajeev Sinha,null,No evidence available that operation of davits used for launching liferafts carried out during abandon ship drill.,MOL,Q1 - 2024,Qingdao,null,Emergency Systems,4110,Abandon ship drills,Grubfish Marine S.A,16,2024PSC019,null,null,null,null,null,Sankar V,Madhan Sridhar,01-05-25,Garnet Express,Tanker,Hyundai Mipo Dockyard Co. Ltd.,null,11.79,null,null,null,Wet,Tanker,Marshall Islands,MOL Group – Mitsui OSK Lines,null,SMPL
2025-04-29T12:08:59.717Z,null,null,null,null,null,AMSA,null,Australia,null,null,1,null,null,null,9554169,null,12-09-24,PSC,Muzahid Firoz Al,Vikram Viswanathan,Lakshmi Narayanan,null,"Emergency escape door from engine room and entrance to steering gear room
kept left open - flexible greywater connection from Engine room passing through
the door and connected to Aft peak tank",null,Q3 - 2024,Port Pirie,null,Fire safety,7120,Means of escape,null,99,2024PSC402,null,null,null,null,null,Nandagopal,Vikesh Dost,01-05-25,Global Faith,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:59.01Z,Active ,null,null,null,null,Riyadh MOU,null,United Arab Emirates,null,null,1,null,null,null,9367748,F,08-07-24,PSC ,Mohammed Allan,Khalid Nawaz,Irfan Rangwala,null,No. 1 Fuel Oil Booster Pump Gland Dirty,null,Q3 - 2024,Fujairah,null,Working and Living Conditions - Living Conditions,9102,"Dirty, parasites",null,17,2024PSC301,null,null,null,null,null,Abhishek Kumar,Chellapandian,26-04-25,PVT Valencia,Tanker,null,null,null,null,null,null,Wet,Tanker,Panama,Parslin,null,SMPL
2025-04-29T12:08:58.843Z,null,null,null,null,null,Indian Ocean MoU,null,India,null,null,1,null,null,null,9550216,null,01-05-24,PSC ,null,Chetan Sharma,Balachander Subramanian,null,The vessel has been operating with dispensation for a lifeboat since November 2023. The rescue boat could not be lowered in the water,null,Q2 - 2024,Mumbai,null,Life saving appliances,11104,Rescue boats,null,30,2024PSC178,null,null,null,null,null,Kunal Chandra,Jacob Paul,15-01-25,Transformer OL,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Oceanlance Maritime Co Ltd,null,SMPL
2025-04-29T12:08:58.966Z,Active ,null,null,null,null,Paris MoU,null,Norway,null,0,0,null,null,null,9893022,I,21-05-24,PSC ,Sigurd Haugen,Harris Surendar Moses,Christopher Ponthurai,null,Nil findings,Sinokor,Q2 - 2024,Sture,null,,null,,null,null,2024PSC227,null,null,null,null,null,Sankar V,Mohanraj PN,01-05-25,Pacific Emerald,Tanker,null,null,null,null,null,null,Wet,Tanker,Marshall Islands,Sinokor,null,SMPL
2025-04-29T12:08:58.965Z,Active ,null,null,null,null,Paris MOU,null,Turkey,null,6,1,null,null,null,9710804,O,20-05-24,PSC ,null,Anurag Gupta,Zahir Husain Basha,null,The ITU Publications List V is old Edition,PT Pertamina Shipping Limited ,Q2 - 2024,IZMIT,null,Safety of Navigation,10116,Nautical publications,null,10,2024PSC220,null,null,null,null,null,Prasanth Arun Ghodke,Manoj Chaudhri,01-05-25,Gas Ambalat,LPG Carrier,Zhoushan COSCO Shipyard Co.,null,11.9,null,null,null,Wet,Gas Carrier,Indonesia,PT Pertamina International Shipping,null,SMPL
2025-04-29T12:08:58.878Z,Active ,null,null,null,null,Paris MOU,"Routine maintenance of window wipers/controller was planned during port call/vessel stay at berth 
by the vessel crew as wipers movements were reported sluggish during checks. 
Status of maintenance work was conveyed to the PSC inspector during inspection. 
Prior departure port, maintenance was successfully completed and movements of all wipers were 
tested successfully.",Portugal,null,2,1,null,null,"Three Wipers’ movements were reported sluggish during pre-arrival checks while others were working 
satisfactorily. 
Maintenance work progress on window wipers and controller was observed during the inspection by the inspector. 
Maintenance work was completed by the person in charge during the vessel’s stay in port. 
Window wipers were made operational and successfully tested under the supervision of senior officer. 
A closure message was sent to the PSC official through local agents on 13 March 2024 and acknowledgement was 
duly received. Closure communication is attached for reference. 
Vessel’s staff and PIC have been briefed with regards to routine maintenance and planning. Crew has been briefed to be vigilant during routine safety checks and report any defects for immediate 
rectification basis vessel operational conditions. 
Above observation shall be shared in company’s monthly finding list to raise awareness. 
",9409168,A,12-03-24,PSC ,Antonio Gordo,Anurag Gupta,Ashok Kumar,Indian/Ukraine/Indonesian,3 Bridge wipers found out of order,NISSEN Kaiun KK,Q1 - 2024,Lisbon,null,Safety of Navigation,10128,Navigation bridge visibility,Global United Gas Carriers Pte. Ltd.,null,2024PSC193,null,null,null,null,"Three Wipers’ movements were reported sluggish during pre-arrival checks while others were working 
satisfactorily. 
Maintenance work progress on window wipers and controller was observed during the inspection by the inspector. 
Maintenance work was completed by the person in charge during the vessel’s stay in port. 
Window wipers were made operational and successfully tested under the supervision of senior officer. 
A closure message was sent to the PSC official through local agents on 13 March 2024 and acknowledgement was 
duly received. Closure communication is attached for reference. 
Vessel’s staff and PIC have been briefed with regards to routine maintenance and planning. Crew has been briefed to be vigilant during routine safety checks and report any defects for immediate 
rectification basis vessel operational conditions. 
Above observation shall be shared in company’s monthly finding list to raise awareness. 
",Sameer Som Sharma,Rahit Sharma,01-05-25,Trammo Marycam,LPG Carrier,Hyundai Heavy Industries,null,16.59,null,null,null,Wet,Gas Carrier,Singapore,Global United Shipping (S) Pte Ltd,No,SMPL
2025-04-29T12:08:58.67Z,null,null,null,null,null,AMSA,null,Australia,null,null,1,null,null,null,9610195,null,19-03-24,PSC,Oleksandr Shevchenko,Chetan Sharma,Balachander,null,Garbage record book not maintained as per annex v of MARPOL,null,Q1 - 2024,Port Hedland,null,Pollution Prevention - MARPOL Annex V,14503,Garbage management plan,null,17,2024PSC115,null,null,null,null,null,Kunal Chandra,Anshul Garg,01-05-25,Moonbright SW,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Shih Wei Navigation Co Ltd,null,SMPL
2025-04-29T12:08:58.539Z,null,null,null,null,null,USCG,null,United States of America,null,null,1,null,null,null,9274355,null,31-01-24,PSC ,Will Kahms,Sidhartha Mishra,Nikhil Dhandotiya,null,The following fire protection systems shall be kept in good order so as to ensure  their required performance if a fire occurs.Fire detection and fire alarms systems. PSCO Observed sample smoke extraction system deenergized.Crew was unaware of when and how long system was de-energized for.,null,Q1 - 2024,Houston,null,Fire safety,7104,Main Vertical zone,null,30,2024PSC049,null,null,null,null,null,Vinod Mittal,Apoorv Singh,23-06-24,Occitan Sky,Bulk Carrier,New Century Shipbuilding Co Ltd - Jingjiang JS,null,20.6,null,null,null,Dry,Bulk Carrier,Portugal,SGM Shipping Service S/A,null,SMPL
2025-04-29T12:08:58.566Z,null,null,null,null,null,AMSA,null,Australia,null,null,1,null,null,null,9519195,null,01-03-24,PSC,Edwin Gionzago,Vikram Viswanathan,Balachander Subramanian,null,Free fall lifeboat and rescue boat not menoeuvred in the water for more than three months.,Wisdom Marine Group,Q1 - 2024,Geelong,null,Life saving appliances,11101,Lifeboats,null,15,2024PSC088,null,null,null,null,null,Vinod Mittal,Vivek Kumar,01-05-25,Poavosa Brave,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:58.647Z,null,null,null,null,null,Tokyo MoU,null,Philippines,null,null,1,null,null,null,9310812,H,16-02-24,PSC ,Samuel B Boniol,Sachin Bagga,Sinoy Issac,null,Engine room electrical grinder half moon cover eye protection cover missing.,Doria Shipping,Q1 - 2024,Bataan,null,"Health protection, medical care, social security",18414,Protection machines/parts,null,17,2024PSC066,null,null,null,null,null,Joseph Peter,Parry Paul Mampara ,01-05-25,Lady of Doria,Tanker,null,null,null,null,null,null,Wet,Tanker,Bangladesh,Doria Shipping,null,SMPL
2025-04-29T12:08:58.292Z,,null,null,null,null,Tokyo MoU,null,Japan,null,null,1,null,null,null,9610195,,27-12-23,PSC ,Miuara Itsuki,Chetan Sharma,Balachander Subramanian,null,Ventilator of emergency generator room - Open / Close indicator was broken due to corrosion,,Q4 - 2023,Saganoseki,null,Fire safety,7116,Ventilation,,17,2023PSC484,null,null,null,null,null,Kunal Chandra,Anshul Garg,01-05-25,Moonbright SW,Bulk Carrier,Saiki Heavy Industries Co Ltd - Saiki OT,null,13.2,null,null,null,Dry,Bulk Carrier,Panama,Shih Wei Navigation Co Ltd,null,SMPL
2025-04-29T12:08:58.647Z,null,null,null,null,null,Tokyo MoU,null,Indonesia,null,0,0,null,null,null,9550216,null,12-02-24,PSC ,Hendrix Irianto,Chetan Sharma,Balachander,null,Nil Findings,null,Q1 - 2024,Amamapare,null,,null,,null,17,2024PSC062,null,null,null,null,null,Kunal Chandra,Jacob Paul,15-01-25,Transformer OL,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Oceanlance Maritime Co Ltd,null,SMPL
2025-04-29T12:08:58.647Z,null,null,null,null,null,Others,null,Ivory Coast,null,0,0,null,null,null,9912438,null,19-02-24,PSC ,Coulibaly Siaka,Vikram Viswanathan,Jayeshlal,Filipino,Nil Findings,Wisdom Marine Group,Q1 - 2024,Abidjan,null,,null,,null,null,2024PSC071,null,null,null,null,null,Vinod Mittal,Shasank Bani,01-05-25,Bunun Queen,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Liberia,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:58.325Z,Active,null,null,null,null,USCG,null,United States of America,null,0,0,null,null,null,9397793,E,08-03-24,PSC,Clark T.A,Harris Surendar Moses,Shriram Narayanan,null,Nil findings,Nan Fung Shipping,Q1 - 2024,Big Stone,null,,null,,South Dignity Shipping Inc.,null,2024PSC101,null,null,null,null,null,Rajendran Sivakumar,Vijyakumr Srivatsava,01-05-25,Coral Pearl,Tanker,null,null,null,null,null,null,Wet,Tanker,Panama,Nan Fung Shipping,null,SMPL
2025-04-29T12:08:57.337Z,Active,null,null,null,null,USCG,null,United States of America,null,0,0,null,null,null,9893034,I,12-09-23,PSC,David J. Roy,Harris Surendar Moses,Shriram Narayanan,null,Nil Findings,Sinokor,Q3 - 2023,Loop,null,,null,,,null,2023PSC310,null,null,null,null,null,Sujith Sasidharan Nair,Chetan Korwar,01-05-25,Pacific Ruby,Tanker,Zhoushan COSCO Shipyard Co.,null,4,null,null,null,Wet,Tanker,Marshall Islands,Sinokor,null,SMPL
2025-04-29T12:08:57.544Z,Active,null,null,null,null,Tokyo MOU,null,China,null,2,1,null,null,null,9362372,E,27-09-23,PSC,Wang Haoran Zou Zhuorong,Kunal Mohindra,Azmi Imran,null,Anti fire line connected incorrectly to the belt.,Nan Fung Shipping,Q3 - 2023,Huizhou,null,,null,,,17,2023PSC328,null,null,null,null,null,Rajendran Sivakumar,Agnik Jana,13-05-24,Aries Pearl,Tanker,Zhoushan COSCO Shipyard Co.,null,18.1,null,null,null,Wet,Tanker,Panama,Nan Fung Shipping,null,SMPL
2025-04-29T12:08:54.889Z,Active, ,null,null,null,Vina del Mar,null,Chile,null,null,1,null,null,null,9552991,C,28-01-22,PSC,Otto Mrugalski,Gurusher Bahadur Singh,Vikram Krishnan ,Filipinos + Turkey + Danesh,Large amount of garbage of different types found onboard,Norden Shipping,Q1 - 2022,Valparaiso, ,Pollution Prevention - MARPOL Annex V,14501,Garbage shipboard handling,Norden asset management  A/S,15,2022PSC018,null,null,null,null,null,Saikat Sen Gupta,Hitesh Verma,01-05-25,Nord Karas,Bulk Carrier,Oshima Shipbuilding Co.Ltd,null,9.13,null,null,null,Dry,Bulk Carrier,Marshall Islands,Norden Asset Management A/S,null,SMPL
2025-04-29T12:08:55.657Z,Active,null,null,null,null,USCG,null,United States of America,null,null,1,null,null,null,9428334,J,22-08-22,PSC,David N Zenkel,Kunal Mohindra,Ankush Suri,Indian,"Means shall be provided to control leaks of flammable liquids, port state control examiner observed several fuel oil pipes in the engine room that have saturated lagging in such bad condition, that oil was dripping from them ",Gy Shipco,Q3 - 2022,New York,null,Fire safety,7199,Other (fire safety),GY Shipco XII LLC,17,2022PSC238,null,null,null,null,null,Anupam Ghosh,Rohit Kumar Gupta,14-03-24,GH Parks,Tanker,SSP Shipbuilding Co,null,16.25,null,null,null,Wet,Tanker,Marshall Islands,GH Management,null,SMPL
2025-04-29T12:08:56.586Z,Active,null,null,null,null,Tokyo MoU,null,Australia,null,null,1,null,null,null,9403528,G,24-03-23,PSC,Justiniani Mark,null,null,null,The MOB buoy on the starboard bridge wing is deteriorated,JP Morgan,Q1 - 2023,Port Hedland,null,Life saving appliances,11117,Lifebuoys incl. provision and disposition,Oceanix services Limited,15,2023PSC092,null,null,null,null,null,null,null,01-05-25,True Champion,Bulk Carrier,Sundong Shipbuilding & Marine ,null,13.76,null,null,null,Dry,Bulk Carrier,Liberia,JP Morgan,null,SMPL
2025-04-29T12:08:56.707Z,Active,null,null,null,null,Indian Ocean MOU,null,India,null,null,1,null,null,null,9257711,F,12-04-23,PSC,Gaurilal Meena,Sachin Bagga,Samsundar,null,Boson store booby hatch cover closing butterfly nut found wasted away.,SK Shipping,Q2 - 2023,Haldia,null,Water/Weathertight condition,3104,Cargo & other hatchways,Brassica Shipholding S.A,17,2023PSC117,null,null,null,null,null,Abhishek Kumar,Gautam V,08-09-23,Pro Jade,Tanker,Hyundai Mipo Dockyard Co. Ltd.,null,21.44,null,null,null,Wet,Tanker,Panama,SK Shipping Co Ltd,null,SMPL
2025-04-29T12:08:56.87Z,,null,null,null,null,Riyadh MOU,null,United Arab Emirates,null,null,1,null,null,null,9746061,,25-04-23,PSC,Mourhaf Al Sheikh Saeed,Khalid Nawaz,Surendra Kairo,null,CSR is with many mistakes in the CSR current number and the issuance bodies of the certificate.,PT Pertamina International Shipping,Q2 - 2023,Fujairah,null,Certificates & Documentation - Ship Certificate,1123,Continuous synopsis record,PT Damar Bahtera Laju Abadi,16,2023PSC142,null,null,null,null,null,Sivakumar Palani,Neelakandan S,08-05-24,Sanana,Tanker,New Times Century Shipyard Co. Ltd,null,9.11,null,null,null,Wet,Tanker,Indonesia,PT Pertamina International Shipping,null,SMPL
2025-04-29T12:08:57.099Z,null,null,null,null,null,Paris MOU,null,Belgium,null,null,1,null,null,null,9859234,null,26-07-23,PSC,Claus Heyvaerts,null,null,null,"As per records, the recordings of SO2 Is (as far as could be ascertained) always 0. This means the ratio SO2/CO2 is constantly at 0%, no matter what is the speed/load on the main engine runs, what is the load of the auxiliary engines, whether the scrubber operates with 0.5S or 0.1% sulphur setting.",UML Shipping,Q3 - 2023,Antwerp (Antwerpen),null,Pollution Prevention - MARPOL Annex VI,14616,Alternative arrangements (SOx),null,16,2023PSC247,null,null,null,null,null,null,null,01-05-25,SEVERN,Tanker,"Samsung Heavy Industries Co Ltd, China  ",null,4.33,null,null,null,Wet,Tanker,Liberia,Union Maritime Limited,null,SMPL
2025-04-29T12:08:54.876Z,Active, ,null,null,null,Vina del Mar,null,Chile,null,0,0,null,null,null,9805647,C,17-01-22,PSC,P.Andrade E,Gurusher Bahadur Singh,Viswanath Vaidyanathan,Filipinos + Turkey + Danesh,Nil Findings,Norden Shipping,Q1 - 2022,Coronel, ,,null,,Dampskibsselkabet Norden A/S,null,2022PSC009,null,null,null,null,null,Saikat Sen Gupta,Vipul Agarwal,01-05-25,Nord Copper,Bulk Carrier,Oshima Shipbuilding Co.Ltd,null,7,null,null,null,Dry,Bulk Carrier,Panama,Tagashira Kaiun,null,SMPL
2025-04-29T12:08:54.967Z,Active,null,null,null,null,Paris MOU,null,Italy,null,5,1,null,null,null,9428334,J,11-03-22,PSC,Trovato salvatore,Kunal Mohindra,Ankush Suri,Indian,Security visitors log book not correctly filled in.,Gy Shipco,Q1 - 2022,Milazzo,null,ISPS,16199,Other (Maritime security),GY Shipco XII LLC,10,2022PSC067,null,null,null,null,null,Anupam Ghosh,Rohit Kumar Gupta,14-03-24,GH Parks,Tanker,SSP Shipbuilding Co Ltd,null,16.25,null,null,null,Wet,Tanker,Marshall Islands,GH Management,null,SMPL
2025-04-29T12:08:55.357Z,Active,null,null,null,null,USCG,null,United States of America,null,3,1,null,null,null,9544152,C,24-05-22,PSC,Wesley Johnsen,Gurusher Bahadur Singh,Viswanath Vaidyanathan,null,"In a ship in which oil fuel is used,the arrangements for the storage,distribution and utilization of the oil fuel shall be such as to ensure the safety of the ship and persons on board and shall must comply with the following provisions; PSCO observed fuel oil spill during a bunkering evolution. Fuel spill was from 1(p) fuel tank. Vessel shall test and repair faulty fuel oil supply valve on the DO(P) fuel tank.",Lauritzen Bulkers A/S,Q2 - 2022,New Orleans,null,Pollution Prevention - MARPOL Annex I,14105,"Pumping, piping and discharge arrangements",Lauritzen Bulkers A/S,17,2022PSC142,null,null,null,null,null,Sivakumar Natarajan ,Dhanraj Kumar,21-07-22,Anne Mette Bulker,Bulk Carrier,Naikai Zosen Shipbuilding,null,13.18,null,null,null,Dry,Bulk Carrier,Denmark,Lauritzen Bulkers A/S,null,SMPL
2025-04-29T12:08:56.126Z,null,null,null,null,null,Tokyo MoU,null,Australia,null,3,1,null,null,null,9614880,,23-11-22,PSC,Andre Russell Winkler,Sidhartha Mishra,Poonacha Sachikumar,null,Ship loading and deballasting not as per the agreed loading plan as evidenced by two metre difference between observed drafts and calculated drafts,NISSEN Kaiun KK,Q4 - 2022,Port Hedland,null,Cargo operations including equipment,6107,Cargo operation,Southern Route Maritime S.A.,17,2022PSC327,null,null,null,null,null,Daniel Christopher,Rohit Sarvaria,27-12-22,Navios Obeliks,Bulk Carrier,Koyo Dockyard Co. Ltd.,null,12.9,null,null,null,Dry,Bulk Carrier,Panama,NISSEN Kaiun KK,null,SMPL
2025-04-29T12:08:56.163Z,null,null,null,null,null,USCG,null,United States of America,null,0,0,null,null,null,9799111,null,18-12-22,PSC,Sam Creashan,Kunal Mohindra,Ankush Suri,null,Nil Findings,Kumiai Senpaku Co Ltd,Q4 - 2022,Baton Rouge,null,,null,,Southern Pacific Holding Corporation,null,2022PSC371,null,null,null,null,null,Abhishek Kumar,Gaurav Mishra,01-05-25,White horse,Tanker,Chengxi Shipyard Co. Ltd,null,7.17,null,null,null,Wet,Tanker,Marshall Islands,Kumiai Senpaku Co Ltd,null,SMPL
2025-04-29T12:08:56.323Z,null,null,null,null,null,USCG,null,United States of America,null,0,0,null,null,null,9917957,null,18-01-23,null,Alison Denning,Kunal Mohindra,Ankush Suri,Indian / Philippinos,Nil Findings,Kumiai Senpaku Co Ltd,Q1 - 2023,Ama Anchorage,null,,null,,Southern Pacific Holding Corp,null,2023PSC019,null,null,null,null,null,Abhishek Kumar,Gautam V,01-05-25,White Pearl,Tanker,Chengxi Shipyard Co. Ltd,null,3.87,null,null,null,Wet,Tanker,Marshall Islands,Kumiai Senpaku Co Ltd,null,SMPL
2025-04-29T12:08:56.324Z,null,null,null,null,null,Paris MOU,null,Iceland,null,6,1,null,null,null,9855434,null,16-01-23,null,Vikek Sharma,null,null,null,Emergency floodlight at port side Life raft found not working,Lauritzen Bulkers A/S,Q1 - 2023,Grundartangi,null,Emergency Systems,4103,"Emergency, lighting,batteries and switches",Lauritzen Bulker A/S,10,2023PSC017,null,null,null,null,null,null,null,15-04-24,Chilean Bulker,Bulk Carrier,"Jiangmen Nanyang Ship engineering Co. Ltd, Guangdong, China",null,5.67,null,null,null,Dry,Bulk Carrier,Denmark,Lauritzen Bulkers A/S,null,SMPL
2025-04-29T12:08:56.567Z,,null,null,null,null,Vina del Mar,null,Argentina,null,0,0,null,null,null,9633939,,10-03-23,PSC,Juan Manuel Abranchuk,Geraldraj Sahaya Arputharaj,Pramod V,Indian,Nil Findings,NISSEN Kaiun KK,Q1 - 2023,Buenos Aires,null,,null,,Green Spanker Shipping S.A.,null,2023PSC075,null,null,null,null,null,Daniel Christopher,Anwar Shanavaz,01-05-25,Cap San Artemissio,Container,Hyundai Heavy Industries Co. Ltd.,null,11.09,null,null,null,Dry,Container,Panama,NISSEN Kaiun KK,null,SMPL
2025-04-29T12:08:56.567Z,,null,null,null,null,Vina del Mar,null,Brazil,null,0,0,null,null,null,9628568,,13-03-23,null,Marcio Rubinei Silvia,null,null,null,Nil Findings,Wisdom Marine Lines SA,Q1 - 2023,Rio Grande,null,,null,,Bunun Navigation SA,null,2023PSC078,null,null,null,null,null,null,null,01-05-25,Bunun Wisdom,Bulk Carrier,Imabari Shipbuilding Co Ltd - Imabari EH,null,12.56,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:56.663Z,Active,null,null,null,null,Abuja MoU,null,Benin,null,0,0,null,null,null,9667459,L,04-04-23,PSC,Kouton Hesire,null,null,null,Nil Findings,Wisdom Marine Lines SA,Q2 - 2023,Cotonou,null,,null,,Amis Navigation SA,null,2023PSC105,null,null,null,null,null,null,null,01-05-25,AMIS Brave,Bulk Carrier,Shin Kasado Dockyard Co Ltd - Kudamatsu YC,null,11.47,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:08:56.965Z,null,null,null,null,null,USCG,null,United States of America,null,0,0,null,null,null,9697909,null,12-06-23,PSC,Pendarvis,null,null,Indian,Nil Findings,Dee4 Capital  Co.,Q2 - 2023,Long Beach,null,,null,,Dee4 VesselCo 8K/S,null,2023PSC197,null,null,null,null,null,null,null,01-05-25,Dee4 Larch,Tanker,"Hyundai Vinashin Shipyard Co.Ltd.,",null,8.73,null,null,null,Wet,Tanker,Denmark,DEE4 Capital Co.,null,SMPL
2025-04-29T12:08:57.135Z,,null,null,null,null,USCG,null,United States of America,null,0,0,null,null,null,9425851,,09-08-23,PSC ,James B. Wixded,null,null,null,Nil Findings,Taiwan,Q3 - 2023,Mobile,null,,null,,Eternity Pescadores Sa Panama,null,2023PSC273,null,null,null,null,null,null,null,01-05-25,Eternity SW,Bulk Carrier,"Cebu, Philippines",null,14.21,null,null,null,Dry,Bulk Carrier,Panama,Shih Wei Navigation Co Ltd,null,SMPL
